date,cum_units
2018-08-22,281.92999999999995
2018-08-24,280.05999999999995
2018-08-25,269.62999999999994
2018-08-26,263.88999999999993
2018-08-27,267.48999999999995
2018-08-31,260.98999999999995
2018-09-01,253.04999999999995
2018-09-02,255.04999999999995
2018-09-03,253.04999999999995
2018-09-04,252.39999999999995
2018-09-08,251.79999999999995
2018-09-09,251.86999999999995
2018-09-14,247.96999999999994
2018-09-15,248.22999999999993
2018-09-16,242.06999999999994
2018-09-17,243.40999999999994
2018-09-18,244.41999999999993
2018-09-19,246.99999999999994
2018-09-21,246.73999999999995
2018-09-22,237.01999999999995
2018-09-23,248.19999999999996
2018-09-24,250.26999999999995
2018-09-25,265.91999999999996
2018-09-26,281.09999999999997
2018-09-27,282.30999999999995
2018-09-28,284.48999999999995
2018-09-29,296.16999999999996
2018-09-30,303.21
2018-10-01,300.15999999999997
2018-10-02,292.93999999999994
2018-10-03,293.5899999999999
2018-10-05,292.4699999999999
2018-10-06,308.6599999999999
2018-10-07,312.9799999999999
2018-10-08,320.6299999999999
2018-10-12,319.6299999999999
2018-10-13,318.8899999999999
2018-10-14,316.8899999999999
2018-10-15,317.6899999999999
2018-10-19,323.9099999999999
2018-10-20,316.6499999999999
2018-10-21,316.2799999999999
2018-10-22,319.1799999999999
2018-10-23,319.6299999999999
2018-10-24,321.6299999999999
2018-10-26,331.90999999999985
2018-10-27,343.42999999999984
2018-10-28,351.73999999999984
2018-10-29,350.1999999999998
2018-10-30,358.2199999999998
2018-10-31,354.1699999999998
2018-11-01,353.1699999999998
2018-11-02,356.06999999999977
2018-11-03,367.62999999999977
2018-11-04,367.6799999999998
2018-11-05,371.37999999999977
2018-11-09,364.82999999999976
2018-11-10,363.3699999999998
2018-11-11,360.0899999999998
2018-11-17,367.1899999999998
2018-11-18,365.7099999999998
2018-11-19,367.80999999999983
2018-11-23,364.72999999999985
2018-11-24,373.28999999999985
2018-11-25,364.96999999999986
2018-11-26,366.21999999999986
2018-11-27,374.84999999999985
2018-11-28,377.99999999999983
